instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingPersID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,order,diocese,diocese_reg
﻿phi.pa.0005,﻿cathedral,﻿Cathedral of St. Mary,English,,,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,﻿PA,39.9456428722341,-75.1485631318047,,,,,,﻿hen_conwell_901,﻿Right Rev.,﻿Henry Conwell,﻿D.D.,,,,,﻿under the direction of the Fathers of the Society of Jesus,1837,,﻿Philadelphia,Philadelphia
﻿phi.pa.0005,﻿cathedral,﻿Cathedral of St. Mary,English,,,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,,39.9456428722341,-75.1485631318047,,,,,,﻿fra_p_kenrick_901,﻿Right Rev.,﻿Fran. P. Kenrick,﻿D. D.,﻿Coadj.,,,,﻿under the direction of the Fathers of the Society of Jesus,1837,,﻿Philadelphia,Philadelphia
﻿phi.pa.0005,﻿cathedral,﻿Cathedral of St. Mary,English,,,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,,39.9456428722341,-75.1485631318047,,,,,,﻿pet_r_kenrick_901,﻿Rev.,﻿Peter R. Kenrick,,﻿Pastor,,,,﻿under the direction of the Fathers of the Society of Jesus,1837,,﻿Philadelphia,Philadelphia
﻿phi.pa.0006,﻿church,﻿St. Joseph's,English,,,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,﻿PA,39.9465537154355,-75.147570704557,,,,,,﻿ed_mcarthy_901,﻿Rev.,﻿Ed. M'Carthy,﻿S.J.,,,,,,1837,,﻿Philadelphia,Philadelphia
﻿phi.pa.0007,﻿church,﻿St. Augustine's,English,,,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,﻿PA,39.9555271371024,-75.1465845042972,,,,,,﻿mic_hurley_901,﻿Rev.,﻿Michael Hurley,,,,,,,1837,,﻿Philadelphia,Philadelphia
﻿phi.pa.0007,﻿church,﻿St. Augustine's,English,,,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,,39.9555271371024,-75.1465845042972,,,,,,﻿n_odonnell_901,﻿Rev.,﻿N. O'Donnell,,,,,,,1837,,﻿Philadelphia,Philadelphia
﻿phi.pa.0009,﻿church,﻿Holy Trinity,﻿German,﻿German,,,,﻿Philadelphia County,﻿Philadelphia,﻿Philidelphia,﻿PA,﻿PA,39.945508396058294,-75.1518946315092,,,,,,﻿nic_balleis_901,﻿Rev.,﻿Nicholas Balleis,,,,,,,1837,,﻿Philadelphia,Philadelphia
﻿phi.pa.0009,﻿church,﻿Holy Trinity,﻿German,﻿German,,,,﻿Philadelphia County,﻿Philadelphia,﻿Philidelphia,﻿PA,,39.945508396058294,-75.1518946315092,,,,,,﻿cor_vanderbraak_901,﻿Rev.,﻿Cor. Vanderbraak,,,,,,,1837,,﻿Philadelphia,Philadelphia
﻿phi.pa.0004,﻿church,﻿St. John,English,﻿Evang.,,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,﻿PA,39.9512695407673,-75.16138095802879,,,,,,﻿joh_hughes_901,﻿Very Rev.,﻿John Hughes,,,,,,,1837,,﻿Philadelphia,Philadelphia
﻿phi.pa.0004,﻿church,﻿St. John,English,﻿Evang.,,,,﻿Philadelphia County,﻿Philidelphia,﻿Philidelphia,﻿PA,,39.9512695407673,-75.16138095802879,,,,,,﻿f_x_gartland_901,﻿Rev.,﻿F. X. Gartland,,,,,,,1837,,﻿Philadelphia,Philadelphia
﻿phil.pa.0010,﻿church,﻿St. Michael's,English,,,,,,﻿Philadelphia,﻿Philadelphia,﻿PA,﻿PA,39.97389081,-75.13848967,,,,,,﻿t_j_donaghue_901,﻿Rev.,﻿T. J. Donaghue,,,,,,,1837,,﻿Philadelphia,Philadelphia
﻿pit.pa.9006,﻿church,﻿St. James,English,,,,,,﻿Alexandria,,﻿PA,,39.97389081,-75.13848967,,,,﻿occasionally,,﻿j_hoerner_901,﻿Rev.,﻿J. Hoerner,,,﻿of Wheeling,,,,1837,,﻿Philadelphia,Philadelphia
﻿pit.pa.0015,﻿church,﻿St. Thomas,English,,,,,﻿Bedford County,﻿Bedford,﻿Bedford,﻿PA,﻿PA,40.0176665419288,-78.5015180781284,,,,﻿once a month,,﻿jam_bradley_901,﻿Rev.,﻿James Bradley,,,﻿Dw. at Newry,,,,1837,,﻿Philadelphia,Philadelphia
