instID,church_type,instName,language,instNote,placeName,region,county_orig,county_reg,city_orig,city_reg,state_orig,state_reg,latitude,longitude,attendingInstID,attendingChurch,attendingChurchFrequency,attendingChurchNote,persID,persTitle,persName,persSuffix,persRole,persNote,memberType,member,affiliated,year,diocese
﻿bal.md.0001,﻿cathedral,﻿Cathedral,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,﻿MD,39.294376659136205,-76.61624542628991,,,,,﻿sam_eccleston_901,﻿Most Rev.,﻿Samuel Eccleston,﻿D. D.,,,,,,1836.0,Baltimore
﻿bal.md.0001,﻿cathedral,﻿Cathedral,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,,39.294376659136205,-76.61624542628991,,,,,﻿ed_damphoux_901,﻿Rev.,﻿Ed. Damphoux,﻿D.D.,﻿Rector,,,,,1836.0,Baltimore
﻿bal.md.0001,﻿cathedral,﻿Cathedral,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,,39.294376659136205,-76.61624542628991,,,,,﻿pet_schreiber_901,﻿Rev.,﻿Peter Schreiber,,﻿Assistant,,,,,1836.0,Baltimore
﻿bal.md.0001,﻿cathedral,﻿Cathedral,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,,39.294376659136205,-76.61624542628991,,,,,﻿c_i_white_901,﻿Rev.,﻿C. I. White,,﻿Assistant,,,,,1836.0,Baltimore
﻿bal.md.0004,﻿church,﻿St. Peter's,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,﻿MD,39.292778000000006,-76.615278,,,,,﻿sam_eccleston_901,﻿Most Rev.,﻿Samuel Eccleston,﻿D. D.,,,,,,1836.0,Baltimore
﻿bal.md.0004,﻿church,﻿St. Peter's,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,,39.292778000000006,-76.615278,,,,,﻿ed_damphoux_901,﻿Rev.,﻿Ed. Damphoux,﻿D.D.,﻿Rector,,,,,1836.0,Baltimore
﻿bal.md.0004,﻿church,﻿St. Peter's,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,,39.292778000000006,-76.615278,,,,,﻿pet_schreiber_901,﻿Rev.,﻿Peter Schreiber,,﻿Assistant,,,,,1836.0,Baltimore
﻿bal.md.0004,﻿church,﻿St. Peter's,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,,39.292778000000006,-76.615278,,,,,﻿c_i_white_901,﻿Rev.,﻿C. I. White,,﻿Assistant,,,,,1836.0,Baltimore
﻿bal.md.0002,﻿church,﻿St. Patrick's. F.P.,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,﻿MD,39.2908873673903,-76.59025713465671,,,,,﻿nic_kerny_901,﻿Rev.,﻿Nicholas Kerny,,,,,,,1836.0,Baltimore
﻿bal.md.0005,﻿church,﻿St. John's,English,﻿German Ch.,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,﻿MD,39.292841328129896,-76.6179880052368,,,,,﻿lew_de-barth_901,﻿Very Rev.,﻿Lewis de Barth,,,,,,,1836.0,Baltimore
﻿bal.md.0012,﻿church,﻿St. James',English,,,,,,﻿Baltimore,,﻿MD,﻿MD,39.292841328129896,-76.6179880052368,,,,,﻿joh_gildea_901,﻿Rev.,﻿John Gildea,,,,,,,1836.0,Baltimore
﻿bal.md.0016,﻿church,﻿St. Mary's,English,,,,,﻿Baltimore County,﻿Baltimore,﻿Baltimore,﻿MD,﻿MD,39.292841328129896,-76.6179880052368,,,,,﻿lew_deluol_901,﻿Very Rev.,﻿Lewis Deluol,﻿D. D.,,,,,,1836.0,Baltimore
